Pres Vapor Caldeira;Tx Compressao Matriz;Afastamento Rolos;Amperagem Condicionador;Velocidade Alimentador;Porc Temp Condicionador;Pressao Vapor;Amperagem Peletizadora;Porc Finos Tyl6;Porc Pdi Tyl6
9,6;15;0;51;46;73;1,4;654;14,95076096687555953446732318710832587287;74
8,9;18;0;54;45;70;1,3;650;13,9088729016786570743405275779376498801;83,6
8,9;18;0;45;70;78;1,5;621;14,52830188679245283018867924528301886792;82
9,5;18;0;55;50;74;1,3;632;10,44905008635578583765112262521588946459;88,8
7,1;15;2;53;55;70;1,5;659;19,25925925925925925925925925925925925926;72,8
7,5;15;2;47;75;80;1,8;453;30,15165031222123104371097234611953612846;76,8
9,5;18;0;49;65;70;1,9;635;19,39520333680917622523461939520333680918;81,8
9,5;15;2;53;46;70;1,4;650;21,0958904109589041095890410958904109589;77
7,5;18;0;51;50;74;1,4;658;12,25983531564501372369624885635864592864;88,6
8,9;15;0;53;50;75;1,4;498;28,44990548204158790170132325141776937618;79,6
8,5;15;2;51;75;80;1,8;437;21,86098654708520179372197309417040358744;77,6
8,6;18;0;50;45;75;1,5;486;11,1770524233432245301681503461918892186;85,8
9,2;0;0;61;77;78;1,8;625;15,3526970954356846473029045643153526971;83
7,5;15;2;61;43;70;1,5;642;16,06033717834960070984915705412599822538;81,8
8;15;2;62;39;79;1,5;653;13,70338248048568950563746747614917606245;81,6
7,5;18;1;58;78;78;1,6;633;16,35859519408502772643253234750462107209;82,6
7,5;15;1;63;39;75;1,5;668;7,91304347826086956521739130434782608696;89,6
7,1;15;2;63;45;76;1,5;637;13,61161524500907441016333938294010889292;82,6
7,7;18;0;54;6;80;1,6;645;13,41956345998383185125303152789005658852;83,4
9,5;18;0;55;72;81;1,6;626;13,58950328022492970946579194001874414246;84,6
8;15;2;61;45;71;1,4;630;14,99068901303538175046554934823091247672;82
7,7;15;2;61;38;76;1,4;647;12,71477663230240549828178694158075601375;83,8
7,5;18;0;53;80;76;1,6;624;14,25313568985176738882554161915621436716;84,8
7,5;15;0;63;48;74;1,5;657;11,70886075949367088607594936708860759494;84,6
8,1;15;1;63;48;77;1,4;651;14,20454545454545454545454545454545454545;80
7,1;18;0;58;73;80;1,5;623;10,00862812769628990509059534081104400345;81,4
9,5;15;2;61;43;75;1,4;626;14,83087597571552471812662619254119687771;82,2
8;18;0;56;75;72;1,5;612;17,39543726235741444866920152091254752852;81,2
7,9;18;0;58;73;67;1,7;629;18,50258175559380378657487091222030981067;79,8
9,4;18;0;62;74;79;1,6;622;16,57940663176265270506108202443280977312;77,8
9,6;15;2;63;44;74;1,5;644;12,76978417266187050359712230215827338129;82,6
8,7;18;2;57;69;78;1,7;635;9,70564836913285600636435958631662688942;79,8
8,8;18;2;55;70;71;1,7;630;13,73322809786898184688239936858721389108;79,2
8,3;18;2;53;70;72;1,7;623;15,8974358974358974358974358974358974359;77,8
7,9;15;0;61;47;76;1,5;654;8,29576194770063119927862939585211902615;84,6
8,6;18;2;53;70;73;1,7;625;15,39087947882736156351791530944625407166;83,8
8,6;15;2;58;45;70;1,5;660;12,57911392405063291139240506329113924051;82,2
8,3;18;3;60;71;69;1,6;634;12,93260473588342440801457194899817850638;81,8
8,3;15;3;62;45;68;1,5;655;12,40174672489082969432314410480349344978;79,8
9,3;0;0;56;70;80;1,6;627;8,21138211382113821138211382113821138211;86,4
8;18;3;56;71;80;1,6;636;8,06451612903225806451612903225806451613;82
9,4;18;0;54;72;78;1,6;629;9,86639260020554984583761562178828365879;88,8
9,3;0;0;54;70;80;1,7;633;10,38062283737024221453287197231833910035;87,6
8,6;15;2;57;45;73;1,5;670;14,28571428571428571428571428571428571429;85,2
8,3;15;2;60;47;72;1,6;664;18,6965811965811965811965811965811965812;75,6
8;15;3;60;44;76;1,5;662;13,76060320452403393025447690857681432611;81,6
8,3;18;2;60;72;75;1,6;636;13,35034013605442176870748299319727891156;78,2
8,9;15;1;61;42;69;1,6;662;11,85185185185185185185185185185185185185;80,8
7,1;15;1;61;45;66;1,5;676;11,56462585034013605442176870748299319728;82,4
8,3;18;0;55;71;79;1,7;635;10,92057761732851985559566787003610108303;86,6
8,7;15;0;63;47;73;1,5;663;11,15992970123022847100175746924428822496;82,2
8,1;18;0;54;66;66;1,7;629;10,81081081081081081081081081081081081081;81,2
8,3;18;0;55;65;80;1,7;637;10,70826306913996627318718381112984822934;85,2
8,3;18;0;58;74;80;1,6;637;14,23149905123339658444022770398481973435;76,6
7,1;15;0;60;48;73;1,4;659;13,48837209302325581395348837209302325581;78,4
8,1;18;0;58;67;64;1,7;631;12,74038461538461538461538461538461538462;82,2
9,5;18;2;62;48;72;1,8;662;12,70386266094420600858369098712446351931;81,6
9,5;18;2;62;50;72;1,8;656;11,710193765796124684077506318449873631;80,2
8,4;18;2;50;63;80;1,7;633;6,27118644067796610169491525423728813559;86
8,6;18;1;51;70;78;1,6;652;9,93314231136580706781279847182425978988;79,8
7,7;15;2;57;43;78;1,7;662;13,98058252427184466019417475728155339806;77,2
8,6;15;2;56;50;74;1,7;644;11,50190114068441064638783269961977186312;75,6
9;18;1;50;75;80;1,4;629;16;80,2
8,2;18;0;49;76;72;1,4;625;18,15789473684210526315789473684210526316;73
8,9;15;1;51;45;62;1,6;654;20,99915325994919559695173581710414902625;72
8,4;18;0;48;45;77;1,7;644;10,10452961672473867595818815331010452962;85,8
8,4;18;0;50;73;79;1,5;628;10,96938775510204081632653061224489795918;88,8
8,2;15;2;45;45;64,6;1,5;607;14,49275362318840579710144927536231884058;73,2
8,1;18;1;51;75;75;1,5;611;10,60240963855421686746987951807228915663;79,8
8,4;15;2;45;43;70;1;631;10,07751937984496124031007751937984496124;78
9;18;1;51;73;81;1,4;628;5,92592592592592592592592592592592592593;86,8
8,7;18;1;50;79;80;1,4;630;12,27513227513227513227513227513227513228;78,2
10;15;2;44;47;71;1,6;661;13,99443929564411492122335495829471733086;74,2
8,2;15;0;48;51;67;1,7;635;18,15789473684210526315789473684210526316;73
