Pres Vapor Caldeira;Tx Compressao Matriz;Afastamento Rolos;Amperagem Condicionador;Velocidade Alimentador;Porc Temp Condicionador;Pressao Vapor;Amperagem Peletizadora;Porc Finos Tyl6;Porc Pdi Tyl6
8,7;18,75;0;40;74;85;1,6;631;16,27697841726618705035971223021582733813;81,6
4,9;18,75;0;40;73;80;1,7;616;17,65704584040747028862478777589134125637;78,4
8,1;18,75;0;39;45;75;1,5;623;13,83928571428571428571428571428571428571;82
8,6;18,75;0;39;75;80;1,7;614;17,53303964757709251101321585903083700441;80
6,5;18,75;0;41;77;80;1,7;626;19,26523297491039426523297491039426523297;77,4
5,2;18,94;0;39;43;74;1,5;657;14,90094745908699397071490094745908699397;80,8
9;18;0;40;85;78;1,7;626;24,58100558659217877094972067039106145251;75,4
9,3;18,75;0;40;75;79;1,7;609;14,84641638225255972696245733788395904437;83
9,2;18,94;0;42;50;73;1,5;625;18,87931034482758620689655172413793103448;76,6
8,7;18,75;0;39;78;80;1,7;580;17,40282685512367491166077738515901060071;81
6,1;18,75;0;39;72;76;1,6;613;9,27456382001836547291092745638200183655;82
8;18;1,5;40;77;75;1,7;616;19,13289349670122525918944392082940622055;82,6
7,8;18,75;0;39;75;81;1,6;599;17,37132352941176470588235294117647058824;77,8
9,4;18,94;0;39;45;70;1,5;633;14,05588484335309060118543607112616426757;77,6
7;18,75;0;41;77;85;1,6;630;17,44301288404360753221010901883052527255;80,2
8,7;18,94;0;40;45;71;1,4;655;19,48275862068965517241379310344827586207;73,8
9;18,75;0;40;80;79;1,7;584;11,27012522361359570661896243291592128801;80,2
8;18,75;0;38;74;77;1,7;595;18,18936877076411960132890365448504983389;82,2
9;18,94;0;38;42;74;1,5;606;15,99678456591639871382636655948553054662;82
8,7;15;1;38;46;74;1,4;626;18,2251908396946564885496183206106870229;80,4
9,4;15;1;37;37;70;1,4;658;19,92409867172675521821631878557874762808;79,4
7,2;15;1;38;45;71;1,4;649;14,62686567164179104477611940298507462687;84,6
8,7;18,75;0;40;64;72;1,7;524;11,86567164179104477611940298507462686567;90
9,3;18,75;0;38;65;72;1,7;543;14,91666666666666666666666666666666666667;80
9,3;18;0;38;60;67;1,9;612;5,54112554112554112554112554112554112554;91
7,3;15;0;36;40;69;1,6;649;9,71322849213691026827012025901942645698;88
9,3;18;0;39;70;74;1,8;605;13,23792486583184257602862254025044722719;84,6
9,3;18;0;42;45;70;1,6;622;13,76146788990825688073394495412844036697;79,2
8,9;18;0;42;76;77;1,8;607;14,75265017667844522968197879858657243816;83
9;18;0;37;71;70;1,8;625;16,51624548736462093862815884476534296029;79,8
9,2;15;0;40;46;70;1,6;660;14,89361702127659574468085106382978723404;80,6
9,2;18;0;38;68;74;1,8;633;14,32720232333010648596321393998063891578;84,6
8,7;18,75;0;39;40;72;1,5;635;13,24786324786324786324786324786324786325;85,2
8,6;18,75;0;37;63;79;1,7;634;9,16666666666666666666666666666666666667;87,2
9,1;18,75;0;41;76;85;1,7;632;14,90196078431372549019607843137254901961;76,4
8,9;18,75;0;39;70;78;1,7;588;20,47750229568411386593204775022956841139;70,8
9,1;18,94;0;40;45;72;1,7;590;10,73038773669972948602344454463480613165;81
9,4;18;0;39;68;71;1,8;576;18,83680555555555555555555555555555555556;77,6
8,8;15;0;38;43;67;1,5;633;16,07773851590106007067137809187279151943;78,4
9,3;18;0;39;73;72;1,7;630;16,16071428571428571428571428571428571429;75,4
8,7;18,94;0;40;44;74;1,5;645;13,59044995408631772268135904499540863177;75,8
